"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket","hoa.fee"
"1","510-And-516-And-520-N-Matson-N-Matson-St,-Kershaw,-SC-29067","510 And 516 And 520 N Matson N Matson St, Kershaw, SC 29067","510 And 516 And 520 N Matson N Matson St",NA,"Kershaw","SC","29067","Lancaster",34.5539,-80.5865,"Single Family","Standard",2,1,1473,57935,1948,"Active",465000,"2023-05-24T00:00:00.000Z","list()",925,NA
"1","275-Ned-Williams-Rd,-Kershaw,-SC-29067","275 Ned Williams Rd, Kershaw, SC 29067","275 Ned Williams Rd",NA,"Kershaw","SC","29067","Lancaster",34.5025,-80.6016,"Single Family","Standard",3,2,1194,60984,1975,"Active",198000,"2025-03-28T00:00:00.000Z","list()",251,NA
"1","Sunrise-Rd,-Kershaw,-SC-29067","Sunrise Rd, Kershaw, SC 29067","Sunrise Rd",NA,"Kershaw","SC","29067","Lancaster",34.5132,-80.5412,"Land","Standard",NA,NA,NA,3994452,NA,"Active",541030,"2025-04-21T00:00:00.000Z","list()",227,NA
"1","1777-Overbrook-Rd,-Kershaw,-SC-29067","1777 Overbrook Rd, Kershaw, SC 29067","1777 Overbrook Rd",NA,"Kershaw","SC","29067","Lancaster",34.6879,-80.5168,"Land","Standard",NA,NA,NA,828947,NA,"Active",320000,"2025-01-15T00:00:00.000Z","list()",323,NA
"1","6504-Day-St,-Kershaw,-SC-29067","6504 Day St, Kershaw, SC 29067","6504 Day St",NA,"Kershaw","SC","29067","Lancaster",34.5596,-80.583,"Single Family","Standard",2,1,1032,23958,1920,"Active",92400,"2025-05-23T00:00:00.000Z","list()",195,NA
"1","309-E-Stevens-Dr,-Kershaw,-SC-29067","309 E Stevens Dr, Kershaw, SC 29067","309 E Stevens Dr",NA,"Kershaw","SC","29067","Lancaster",34.5457,-80.5765,"Single Family","Standard",3,2,1475,21780,1963,"Active",125000,"2025-07-01T00:00:00.000Z","list()",156,NA
"1","9552-Flat-Creek-Rd,-Kershaw,-SC-29067","9552 Flat Creek Rd, Kershaw, SC 29067","9552 Flat Creek Rd",NA,"Kershaw","SC","29067","Lancaster",34.6021,-80.4599,"Single Family","Standard",4,2,2128,217800,2000,"Active",285000,"2025-07-12T00:00:00.000Z","list()",145,NA
"1","6963-Kershaw-Camden-Hwy,-Kershaw,-SC-29067","6963 Kershaw Camden Hwy, Kershaw, SC 29067","6963 Kershaw Camden Hwy",NA,"Kershaw","SC","29067","Lancaster",34.571,-80.6118,"Single Family","Standard",3,2,1702,52272,1927,"Active",239900,"2025-07-31T00:00:00.000Z","list()",126,NA
"1","Johnny-Williams-Rd,-Unit-5,-Kershaw,-SC-29067","Johnny Williams Rd, Unit 5, Kershaw, SC 29067","Johnny Williams Rd","Unit 5","Kershaw","SC","29067","Lancaster",34.4999,-80.6052,"Land","Standard",NA,NA,NA,39640,NA,"Active",24900,"2025-07-14T00:00:00.000Z","list()",143,NA
"1","108-W-Welsh-St,-Kershaw,-SC-29067","108 W Welsh St, Kershaw, SC 29067","108 W Welsh St",NA,"Kershaw","SC","29067","Lancaster",34.5428,-80.5838,"Single Family","Standard",4,2,2070,30056,2005,"Active",249900,"2025-07-11T00:00:00.000Z","list()",146,NA
"1","113-Jones-St,-Kershaw,-SC-29067","113 Jones St, Kershaw, SC 29067","113 Jones St",NA,"Kershaw","SC","29067","Lancaster",34.54,-80.5795,"Single Family","Standard",2,1,1568,1116878,1920,"Active",285000,"2025-08-09T00:00:00.000Z","list()",117,NA
"1","215-S-Matson-St,-Kershaw,-SC-29067","215 S Matson St, Kershaw, SC 29067","215 S Matson St",NA,"Kershaw","SC","29067","Lancaster",34.5453,-80.5836,"Single Family","Standard",3,2,2066,14810,1900,"Active",219900,"2025-08-14T00:00:00.000Z","list()",112,NA
"1","6458-N-Matson-St,-Kershaw,-SC-29067","6458 N Matson St, Kershaw, SC 29067","6458 N Matson St",NA,"Kershaw","SC","29067","Lancaster",34.557,-80.5875,"Single Family","Standard",3,1.5,984,5227,1990,"Active",140000,"2025-08-09T00:00:00.000Z","list()",117,NA
"1","1930-Goldmine-Rd,-Kershaw,-SC-29067","1930 Goldmine Rd, Kershaw, SC 29067","1930 Goldmine Rd",NA,"Kershaw","SC","29067","Lancaster",34.6766,-80.4918,"Single Family","New Construction",3,2,1724,116305,2025,"Active",425000,"2025-08-19T00:00:00.000Z","list()",107,NA
"1","179-Youngs-Bend-Rd,-Kershaw,-SC-29067","179 Youngs Bend Rd, Kershaw, SC 29067","179 Youngs Bend Rd",NA,"Kershaw","SC","29067","Lancaster",34.4972,-80.6048,"Single Family","Standard",3,2,1548,45738,2009,"Active",230000,"2025-08-19T00:00:00.000Z","list()",107,NA
"1","7630-Kershaw-Camden-Hwy,-Kershaw,-SC-29067","7630 Kershaw Camden Hwy, Kershaw, SC 29067","7630 Kershaw Camden Hwy",NA,"Kershaw","SC","29067","Lancaster",34.5623,-80.5881,"Single Family","Standard",3,2,1697,19166,1931,"Active",239000,"2025-08-25T00:00:00.000Z","list()",101,NA
"1","5474-Ussery-Rd,-Kershaw,-SC-29067","5474 Ussery Rd, Kershaw, SC 29067","5474 Ussery Rd",NA,"Kershaw","SC","29067","Lancaster",34.5429,-80.6392,"Single Family","Standard",3,2,2430,2414095,1975,"Active",770000,"2025-08-26T00:00:00.000Z","list()",100,NA
"1","Ussery-Rd,-Kershaw,-SC-29067","Ussery Rd, Kershaw, SC 29067","Ussery Rd",NA,"Kershaw","SC","29067","Lancaster",34.5385,-80.6314,"Land","Standard",NA,NA,NA,1306800,NA,"Active",275000,"2025-08-29T00:00:00.000Z","list()",97,NA
"1","202-N-Ingram-St,-Kershaw,-SC-29067","202 N Ingram St, Kershaw, SC 29067","202 N Ingram St",NA,"Kershaw","SC","29067","Lancaster",34.5513,-80.5765,"Single Family","Standard",2,2,1556,10019,1944,"Active",149900,"2025-09-15T00:00:00.000Z","list()",80,NA
"1","Hhf-3-Old-Georgetown-Hhf-Rd-W,-Lot-3,-Kershaw,-SC-29067","Hhf 3 Old Georgetown Hhf Rd W, Lot 3, Kershaw, SC 29067","Hhf 3 Old Georgetown Hhf Rd W","Lot 3","Kershaw","SC","29067","Kershaw",34.4706,-80.5682,"Land","Standard",NA,NA,NA,361112,NA,"Active",74900,"2025-05-12T00:00:00.000Z","list()",206,NA
"1","Hhf-6-Old-Georgetown-Hhf-Rd-W,-Lot-6,-Kershaw,-SC-29067","Hhf 6 Old Georgetown Hhf Rd W, Lot 6, Kershaw, SC 29067","Hhf 6 Old Georgetown Hhf Rd W","Lot 6","Kershaw","SC","29067","Kershaw",34.4715,-80.5656,"Land","Standard",NA,NA,NA,517928,NA,"Active",99900,"2025-05-12T00:00:00.000Z","list()",206,NA
"1","Oak-Ridge-Church-Rd,-Kershaw,-SC-29067","Oak Ridge Church Rd, Kershaw, SC 29067","Oak Ridge Church Rd",NA,"Kershaw","SC","29067","Kershaw",34.4932,-80.5554,"Land","Standard",NA,NA,NA,242194,NA,"Active",80000,"2025-05-15T00:00:00.000Z","list()",203,NA
"1","McNaughton-Rd,-Kershaw,-SC-29067","McNaughton Rd, Kershaw, SC 29067","McNaughton Rd",NA,"Kershaw","SC","29067","Kershaw",34.5153,-80.4571,"Land","Standard",NA,NA,NA,4791600,NA,"Active",440000,"2025-05-16T00:00:00.000Z","list()",202,NA
"1","1116-Shop-Rd,-Kershaw,-SC-29067","1116 Shop Rd, Kershaw, SC 29067","1116 Shop Rd",NA,"Kershaw","SC","29067","Lancaster",34.5055,-80.5825,"Single Family","Standard",3,2,1825,43560,2003,"Active",325000,"2025-09-24T00:00:00.000Z","list()",71,NA
"1","606-W-Church-St,-Kershaw,-SC-29067","606 W Church St, Kershaw, SC 29067","606 W Church St",NA,"Kershaw","SC","29067","Lancaster",34.5494,-80.591,"Single Family","Standard",3,2,1344,22216,1920,"Active",210000,"2025-10-02T00:00:00.000Z","list()",63,NA
"1","1164-Shop-Rd,-Kershaw,-SC-29067","1164 Shop Rd, Kershaw, SC 29067","1164 Shop Rd",NA,"Kershaw","SC","29067","Lancaster",34.504,-80.5822,"Single Family","Standard",3,2,1667,43996,1997,"Active",229900,"2025-10-05T00:00:00.000Z","list()",60,NA
"1","299-Ned-Williams-Rd,-Kershaw,-SC-29067","299 Ned Williams Rd, Kershaw, SC 29067","299 Ned Williams Rd",NA,"Kershaw","SC","29067","Lancaster",34.502,-80.6025,"Single Family","New Construction",4,2,2040,117176,2025,"Active",279000,"2025-10-08T00:00:00.000Z","list()",57,NA
"1","745-Fletcher-Dr,-Kershaw,-SC-29067","745 Fletcher Dr, Kershaw, SC 29067","745 Fletcher Dr",NA,"Kershaw","SC","29067","Kershaw",34.4319,-80.5476,"Land","Standard",NA,NA,NA,304920,NA,"Active",70000,"2025-06-08T00:00:00.000Z","list()",179,NA
"1","725-Fletcher-Dr,-Kershaw,-SC-29067","725 Fletcher Dr, Kershaw, SC 29067","725 Fletcher Dr",NA,"Kershaw","SC","29067","Kershaw",34.4318,-80.5479,"Land","Standard",NA,NA,NA,304920,NA,"Active",77600,"2025-06-08T00:00:00.000Z","list()",179,NA
"1","Hhf-3-Old-Georgetown-Rd-W,-Unit-HHF3,-Kershaw,-SC-29067","Hhf 3 Old Georgetown Rd W, Unit HHF3, Kershaw, SC 29067","Hhf 3 Old Georgetown Rd W","Unit HHF3","Kershaw","SC","29067","Kershaw",34.4702,-80.5689,"Land","Standard",NA,NA,NA,361112,NA,"Active",74900,"2025-07-15T00:00:00.000Z","list()",142,NA
"1","Hhf-6-Old-Georgetown-Rd-W,-Unit-HHF6,-Kershaw,-SC-29067","Hhf 6 Old Georgetown Rd W, Unit HHF6, Kershaw, SC 29067","Hhf 6 Old Georgetown Rd W","Unit HHF6","Kershaw","SC","29067","Kershaw",34.4683,-80.5656,"Land","Standard",NA,NA,NA,517928,NA,"Active",99900,"2025-07-15T00:00:00.000Z","list()",142,NA
"1","Kf-8-Providence-Kf-Rd,-Lot-8,-Kershaw,-SC-29067","Kf 8 Providence Kf Rd, Lot 8, Kershaw, SC 29067","Kf 8 Providence Kf Rd","Lot 8","Kershaw","SC","29067","Kershaw",34.4301,-80.4819,"Land","Standard",NA,NA,NA,89298,NA,"Active",34900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-1-Keys-Kf-Ln,-Lot-1,-Kershaw,-SC-29067","Kf 1 Keys Kf Ln, Lot 1, Kershaw, SC 29067","Kf 1 Keys Kf Ln","Lot 1","Kershaw","SC","29067","Kershaw",34.4284,-80.4854,"Land","Standard",NA,NA,NA,87556,NA,"Active",34900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-4-Keys-Ln,-Unit-KF4,-Kershaw,-SC-29067","Kf 4 Keys Ln, Unit KF4, Kershaw, SC 29067","Kf 4 Keys Ln","Unit KF4","Kershaw","SC","29067","Kershaw",34.4289,-80.4855,"Land","Standard",NA,NA,NA,96703,NA,"Active",33900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-2-Keys-Kf-Ln,-Lot-2,-Kershaw,-SC-29067","Kf 2 Keys Kf Ln, Lot 2, Kershaw, SC 29067","Kf 2 Keys Kf Ln","Lot 2","Kershaw","SC","29067","Kershaw",34.4287,-80.4845,"Land","Standard",NA,NA,NA,87556,NA,"Active",34900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-3-Keys-Ln,-Unit-KF3,-Kershaw,-SC-29067","Kf 3 Keys Ln, Unit KF3, Kershaw, SC 29067","Kf 3 Keys Ln","Unit KF3","Kershaw","SC","29067","Kershaw",34.4289,-80.4847,"Land","Standard",NA,NA,NA,87556,NA,"Active",33900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-4-Keys-Kf-Ln,-Lot-4,-Kershaw,-SC-29067","Kf 4 Keys Kf Ln, Lot 4, Kershaw, SC 29067","Kf 4 Keys Kf Ln","Lot 4","Kershaw","SC","29067","Kershaw",34.4288,-80.4832,"Land","Standard",NA,NA,NA,96703,NA,"Active",33900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-5-Keys-Kf-Ln,-Lot-5,-Kershaw,-SC-29067","Kf 5 Keys Kf Ln, Lot 5, Kershaw, SC 29067","Kf 5 Keys Kf Ln","Lot 5","Kershaw","SC","29067","Kershaw",34.4288,-80.4825,"Land","Standard",NA,NA,NA,89298,NA,"Active",34900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-5-Keys-Ln,-Unit-KF5,-Kershaw,-SC-29067","Kf 5 Keys Ln, Unit KF5, Kershaw, SC 29067","Kf 5 Keys Ln","Unit KF5","Kershaw","SC","29067","Kershaw",34.4287,-80.4849,"Land","Standard",NA,NA,NA,89298,NA,"Active",34900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-7-Providence-Kf-Rd,-Lot-7,-Kershaw,-SC-29067","Kf 7 Providence Kf Rd, Lot 7, Kershaw, SC 29067","Kf 7 Providence Kf Rd","Lot 7","Kershaw","SC","29067","Kershaw",34.4296,-80.4816,"Land","Standard",NA,NA,NA,91040,NA,"Active",34900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-6-Keys-Ln,-Unit-KF6,-Kershaw,-SC-29067","Kf 6 Keys Ln, Unit KF6, Kershaw, SC 29067","Kf 6 Keys Ln","Unit KF6","Kershaw","SC","29067","Kershaw",34.4294,-80.4828,"Land","Standard",NA,NA,NA,99317,NA,"Active",37900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-3-Keys-Kf-Ln,-Lot-3,-Kershaw,-SC-29067","Kf 3 Keys Kf Ln, Lot 3, Kershaw, SC 29067","Kf 3 Keys Kf Ln","Lot 3","Kershaw","SC","29067","Kershaw",34.4285,-80.4838,"Land","Standard",NA,NA,NA,87556,NA,"Active",33900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-8-Providence-Rd,-Unit-KF8,-Kershaw,-SC-29067","Kf 8 Providence Rd, Unit KF8, Kershaw, SC 29067","Kf 8 Providence Rd","Unit KF8","Kershaw","SC","29067","Kershaw",34.4292,-80.4815,"Land","Standard",NA,NA,NA,89298,NA,"Active",34900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-2-Keys-Ln,-Unit-KF2,-Kershaw,-SC-29067","Kf 2 Keys Ln, Unit KF2, Kershaw, SC 29067","Kf 2 Keys Ln","Unit KF2","Kershaw","SC","29067","Kershaw",34.4283,-80.4882,"Land","Standard",NA,NA,NA,87556,NA,"Active",34900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-1-Keys-Ln,-Unit-KF1,-Kershaw,-SC-29067","Kf 1 Keys Ln, Unit KF1, Kershaw, SC 29067","Kf 1 Keys Ln","Unit KF1","Kershaw","SC","29067","Kershaw",34.4285,-80.4861,"Land","Standard",NA,NA,NA,87556,NA,"Active",34900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-9-Providence-Rd,-Unit-KF9,-Kershaw,-SC-29067","Kf 9 Providence Rd, Unit KF9, Kershaw, SC 29067","Kf 9 Providence Rd","Unit KF9","Kershaw","SC","29067","Kershaw",34.4293,-80.4814,"Land","Standard",NA,NA,NA,87556,NA,"Active",33900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-9-Providence-Kf-Rd,-Lot-9,-Kershaw,-SC-29067","Kf 9 Providence Kf Rd, Lot 9, Kershaw, SC 29067","Kf 9 Providence Kf Rd","Lot 9","Kershaw","SC","29067","Kershaw",34.4308,-80.4822,"Land","Standard",NA,NA,NA,87556,NA,"Active",33900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","Kf-6-Providence-Kf-Rd,-Lot-6,-Kershaw,-SC-29067","Kf 6 Providence Kf Rd, Lot 6, Kershaw, SC 29067","Kf 6 Providence Kf Rd","Lot 6","Kershaw","SC","29067","Kershaw",34.4289,-80.4815,"Land","Standard",NA,NA,NA,99317,NA,"Active",37900,"2025-08-28T00:00:00.000Z","list()",98,NA
"1","1163-Pit-A-Tat-Rd,-Kershaw,-SC-29067","1163 Pit A Tat Rd, Kershaw, SC 29067","1163 Pit A Tat Rd",NA,"Kershaw","SC","29067","Lancaster",34.6283,-80.5384,"Single Family","Standard",4,2,2768,163568,2005,"Active",225000,"2025-10-19T00:00:00.000Z","list()",46,NA
"1","412-E-Richland-St,-Kershaw,-SC-29067","412 E Richland St, Kershaw, SC 29067","412 E Richland St",NA,"Kershaw","SC","29067","Lancaster",34.5506,-80.5768,"Single Family","Standard",4,4,3874,52272,1912,"Active",365000,"2025-10-23T00:00:00.000Z","list()",42,NA
"1","3439-Hornebeam-St,-Kershaw,-SC-29067","3439 Hornebeam St, Kershaw, SC 29067","3439 Hornebeam St",NA,"Kershaw","SC","29067","Lancaster",34.6367,-80.5339,"Single Family","Standard",1,1,722,118048,2007,"Active",119900,"2025-10-23T00:00:00.000Z","list()",42,NA
"1","703-Neds-Creek-Rd,-Kershaw,-SC-29067","703 Neds Creek Rd, Kershaw, SC 29067","703 Neds Creek Rd",NA,"Kershaw","SC","29067","Kershaw",34.5453,-80.5271,"Land","Standard",NA,NA,NA,8141364,NA,"Active",925000,"2025-09-29T00:00:00.000Z","list()",66,NA
"1","1074-Jones-Rd,-Kershaw,-SC-29067","1074 Jones Rd, Kershaw, SC 29067","1074 Jones Rd",NA,"Kershaw","SC","29067","Kershaw",34.5553,-80.4961,"Single Family","Standard",3,2,1809,87120,2011,"Active",310000,"2025-10-11T00:00:00.000Z","list()",54,NA
"1","1773-Ellis-Rd,-Kershaw,-SC-29067","1773 Ellis Rd, Kershaw, SC 29067","1773 Ellis Rd",NA,"Kershaw","SC","29067","Kershaw",34.5753,-80.4274,"Single Family","Standard",4,2.5,2052,296208,2003,"Active",300000,"2025-10-21T00:00:00.000Z","list()",44,NA
"1","3960-Travellers-Rd,-Kershaw,-SC-29067","3960 Travellers Rd, Kershaw, SC 29067","3960 Travellers Rd",NA,"Kershaw","SC","29067","Kershaw",34.5296,-80.5287,"Manufactured","Standard",3,2,1769,52272,2022,"Active",239900,"2025-10-25T00:00:00.000Z","list()",40,NA
"1","4784-Mosley-Rd,-Kershaw,-SC-29067","4784 Mosley Rd, Kershaw, SC 29067","4784 Mosley Rd",NA,"Kershaw","SC","29067","Kershaw",34.5409,-80.4661,"Land","Standard",NA,NA,NA,108900,NA,"Active",35000,"2025-10-25T00:00:00.000Z","list()",40,NA
"1","2579-Old-Georgetown-Rd-W,-Kershaw,-SC-29067","2579 Old Georgetown Rd W, Kershaw, SC 29067","2579 Old Georgetown Rd W",NA,"Kershaw","SC","29067","Kershaw",34.4079,-80.5324,"Manufactured","New Construction",4,3,2400,107158,2024,"Active",299000,"2025-10-28T00:00:00.000Z","list()",37,NA
"1","2774-Lockhart-Rd,-Kershaw,-SC-29067","2774 Lockhart Rd, Kershaw, SC 29067","2774 Lockhart Rd",NA,"Kershaw","SC","29067","Kershaw",34.4158,-80.5363,"Single Family","Standard",3,2,1600,55321,1979,"Active",219000,"2025-11-02T00:00:00.000Z","list()",32,NA
"1","001-Davis-Rd,-Lot-1,-Kershaw,-SC-29067","001 Davis Rd, Lot 1, Kershaw, SC 29067","001 Davis Rd","Lot 1","Kershaw","SC","29067","Kershaw",34.4609,-80.5267,"Land","Standard",NA,NA,NA,261360,NA,"Active",69000,"2025-11-05T00:00:00.000Z","list()",29,NA
"1","002-Davis-Rd,-Lot-2,-Kershaw,-SC-29067","002 Davis Rd, Lot 2, Kershaw, SC 29067","002 Davis Rd","Lot 2","Kershaw","SC","29067","Kershaw",34.4599,-80.5535,"Land","Standard",NA,NA,NA,261360,NA,"Active",69000,"2025-11-05T00:00:00.000Z","list()",29,NA
"1","005-Davis-Rd,-Lot-5,-Kershaw,-SC-29067","005 Davis Rd, Lot 5, Kershaw, SC 29067","005 Davis Rd","Lot 5","Kershaw","SC","29067","Kershaw",34.4592,-80.5569,"Land","Standard",NA,NA,NA,261360,NA,"Active",69000,"2025-11-05T00:00:00.000Z","list()",29,NA
"1","007-Davis-Rd,-Lot-7,-Kershaw,-SC-29067","007 Davis Rd, Lot 7, Kershaw, SC 29067","007 Davis Rd","Lot 7","Kershaw","SC","29067","Kershaw",34.4589,-80.5585,"Land","Standard",NA,NA,NA,261360,NA,"Active",69000,"2025-11-05T00:00:00.000Z","list()",29,NA
"1","5339-Lockhart-Rd,-Kershaw,-SC-29067","5339 Lockhart Rd, Kershaw, SC 29067","5339 Lockhart Rd",NA,"Kershaw","SC","29067","Kershaw",34.5101,-80.4873,"Single Family","New Construction",4,2,1568,53579,2025,"Active",269000,"2025-11-11T00:00:00.000Z","list()",23,NA
"1","1550-Jones-Rd,-Kershaw,-SC-29067","1550 Jones Rd, Kershaw, SC 29067","1550 Jones Rd",NA,"Kershaw","SC","29067","Kershaw",34.5583,-80.4569,"Land","Standard",NA,NA,NA,64033,NA,"Active",25500,"2025-11-07T00:00:00.000Z","list()",27,NA
"1","004-Davis-Rd,-Lot-4,-Kershaw,-SC-29067","004 Davis Rd, Lot 4, Kershaw, SC 29067","004 Davis Rd","Lot 4","Kershaw","SC","29067","Kershaw",34.4595,-80.5552,"Land","Standard",NA,NA,NA,261360,NA,"Active",69000,"2025-11-05T00:00:00.000Z","list()",29,NA
"1","006-Davis-Rd,-Lot-6,-Kershaw,-SC-29067","006 Davis Rd, Lot 6, Kershaw, SC 29067","006 Davis Rd","Lot 6","Kershaw","SC","29067","Kershaw",34.4592,-80.5574,"Land","Standard",NA,NA,NA,261360,NA,"Active",69000,"2025-11-05T00:00:00.000Z","list()",29,NA
"1","003-Davis-Rd,-Lot-3,-Kershaw,-SC-29067","003 Davis Rd, Lot 3, Kershaw, SC 29067","003 Davis Rd","Lot 3","Kershaw","SC","29067","Kershaw",34.4597,-80.5544,"Land","Standard",NA,NA,NA,261360,NA,"Active",69000,"2025-11-05T00:00:00.000Z","list()",29,NA
"1","008-Davis-Rd,-Lot-8,-Kershaw,-SC-29067","008 Davis Rd, Lot 8, Kershaw, SC 29067","008 Davis Rd","Lot 8","Kershaw","SC","29067","Kershaw",34.4609,-80.5267,"Land","Standard",NA,NA,NA,261360,NA,"Active",69000,"2025-11-05T00:00:00.000Z","list()",29,NA
"1","1060-Neds-Creek-Rd,-Kershaw,-SC-29067","1060 Neds Creek Rd, Kershaw, SC 29067","1060 Neds Creek Rd",NA,"Kershaw","SC","29067","Kershaw",34.5436,-80.507,"Land","Standard",NA,NA,NA,294466,NA,"Active",89900,"2025-11-13T00:00:00.000Z","list()",21,NA
"1","931-Charlie-Johnson-Rd,-Kershaw,-SC-29067","931 Charlie Johnson Rd, Kershaw, SC 29067","931 Charlie Johnson Rd",NA,"Kershaw","SC","29067","Kershaw",34.5481,-80.5109,"Land","Standard",NA,NA,NA,7932712,NA,"Active",855917,"2025-11-13T00:00:00.000Z","list()",21,NA
"1","1019-Scott-Rd,-Kershaw,-SC-29067","1019 Scott Rd, Kershaw, SC 29067","1019 Scott Rd",NA,"Kershaw","SC","29067","Kershaw",34.5348,-80.5041,"Manufactured","Standard",3,2,1680,132858,2023,"Active",219900,"2025-11-20T00:00:00.000Z","list()",14,NA
"1","3644-Hunter-Rd,-Kershaw,-SC-29067","3644 Hunter Rd, Kershaw, SC 29067","3644 Hunter Rd",NA,"Kershaw","SC","29067","Kershaw",34.4912,-80.5621,"Manufactured","Standard",3,2,1200,61420,1993,"Active",185000,"2025-11-25T00:00:00.000Z","list()",9,NA
"1","928-Neds-Creek-Rd,-Kershaw,-SC-29067","928 Neds Creek Rd, Kershaw, SC 29067","928 Neds Creek Rd",NA,"Kershaw","SC","29067","Kershaw",34.5393,-80.5153,"Single Family","Standard",4,2,2078,174240,2003,"Active",265000,"2025-11-15T00:00:00.000Z","list()",19,NA
"1","7159-Rev-Melvin-Adams-Dr,-Kershaw,-SC-29067","7159 Rev Melvin Adams Dr, Kershaw, SC 29067","7159 Rev Melvin Adams Dr",NA,"Kershaw","SC","29067","Lancaster",34.6803,-80.4807,"Single Family","Standard",4,2,2560,261360,2000,"Active",345000,"2025-11-10T00:00:00.000Z","list()",24,NA
"1","N-Matson-St,-Kershaw,-SC-29067","N Matson St, Kershaw, SC 29067","N Matson St",NA,"Kershaw","SC","29067","Lancaster",34.5609,-80.5881,"Land","Standard",NA,NA,NA,62291,NA,"Active",129900,"2025-11-12T00:00:00.000Z","list()",22,NA
"1","Baxley-Farm-Rd,-Kershaw,-SC-29067","Baxley Farm Rd, Kershaw, SC 29067","Baxley Farm Rd",NA,"Kershaw","SC","29067","Lancaster",34.5411,-80.5692,"Land","Standard",NA,NA,NA,329749,NA,"Active",119900,"2025-11-12T00:00:00.000Z","list()",22,NA
"1","393-Youngs-Bend-Rd,-Kershaw,-SC-29067","393 Youngs Bend Rd, Kershaw, SC 29067","393 Youngs Bend Rd",NA,"Kershaw","SC","29067","Lancaster",34.5044,-80.6187,"Single Family","Standard",9,10,11489,435600,2009,"Active",1975000,"2025-11-15T00:00:00.000Z","list()",19,NA
"1","116-N-Matson-St,-Kershaw,-SC-29067","116 N Matson St, Kershaw, SC 29067","116 N Matson St",NA,"Kershaw","SC","29067","Lancaster",34.5484,-80.5846,"Single Family","Standard",5,3.5,7330,47916,1918,"Active",1175000,"2025-11-18T00:00:00.000Z","list()",16,NA
"1","1801-Overbrook-Rd,-Kershaw,-SC-29067","1801 Overbrook Rd, Kershaw, SC 29067","1801 Overbrook Rd",NA,"Kershaw","SC","29067","Lancaster",34.6885,-80.5184,"Single Family","Standard",4,1,1662,65776,1900,"Active",199000,"2025-11-30T00:00:00.000Z","list()",4,NA
"1","2399-Gold-Mine-Hwy,-Kershaw,-SC-29067","2399 Gold Mine Hwy, Kershaw, SC 29067","2399 Gold Mine Hwy",NA,"Kershaw","SC","29067","Lancaster",34.6549,-80.4997,"Single Family","Standard",4,2,2190,3528360,1978,"Active",1500000,"2025-11-21T00:00:00.000Z","list()",12,NA
"1","45-Fletcher-Dr,-Kershaw,-SC-29067","45 Fletcher Dr, Kershaw, SC 29067","45 Fletcher Dr",NA,"Kershaw","SC","29067","Kershaw",34.4481,-80.5977,"Land","Standard",NA,NA,NA,95832,NA,"Inactive",32500,"2025-10-31T00:00:00.000Z","2025-11-29T00:00:00.000Z",29,NA
"1","301-E-Church-St,-Kershaw,-SC-29067","301 E Church St, Kershaw, SC 29067","301 E Church St",NA,"Kershaw","SC","29067","Lancaster",34.5518,-80.5801,"Single Family","Standard",3,2,1711,20038,1936,"Inactive",284900,"2025-09-02T00:00:00.000Z","2025-11-27T00:00:00.000Z",86,NA
"1","Hhf-1-Old-Georgetown-Hhf-Rd-W,-Lot-1,-Kershaw,-SC-29067","Hhf 1 Old Georgetown Hhf Rd W, Lot 1, Kershaw, SC 29067","Hhf 1 Old Georgetown Hhf Rd W","Lot 1","Kershaw","SC","29067","Kershaw",34.4726,-80.5701,"Land","Standard",NA,NA,NA,459994,NA,"Inactive",89900,"2025-05-12T00:00:00.000Z","2025-11-26T00:00:00.000Z",198,NA
"1","Hhf-1-Old-Georgetown-Rd-W,-Unit-HHF1,-Kershaw,-SC-29067","Hhf 1 Old Georgetown Rd W, Unit HHF1, Kershaw, SC 29067","Hhf 1 Old Georgetown Rd W","Unit HHF1","Kershaw","SC","29067","Kershaw",34.4723,-80.5713,"Land","Standard",NA,NA,NA,459994,NA,"Inactive",89900,"2025-07-15T00:00:00.000Z","2025-11-26T00:00:00.000Z",134,NA
